id,branch,projectName,initiator,statusDetails_status,details,scanDuration
bb8099be-3ebf-4515-abb1-bc41c5106ae6,resolver,CU7532,f408941,,,105.430031
79b5429b-5736-4d80-abbf-a2374ba02e44,resolver,CQ1414,f408941,,,113.212148
c7f7d5dd-9099-407f-b3d0-faede684898f,resolver,XH8247,f408941,Completed,,104.478061
41014ca4-6daf-46e2-9271-a46dc8dda739,resolver,GU4497,f408941,,,106.782315
98947db2-8962-4dd2-9b31-3b6367564e98,resolver,BA0310,f408941,Completed,,105.112207
c50b5b23-8492-4636-88ec-7c8c5582f4b1,resolver,SD0065,f408941,,,104.812348
8bbbf67b-376a-473c-a953-f2d7105e1d6e,resolver,VW2542,f408941,,,103.674965
073b3293-9ac2-4769-89e7-6a976e6a7d95,resolver,SB5992,f408941,Completed,,208.56537
68830eab-25a6-4768-ad91-82feb21e58ed,resolver,IR1822,f408941,,,104.104188
7c7018b8-eb27-48fd-978b-3e85132a758a,resolver,BA0224-MS03,f408941,,,12190.69884
0f2c2392-2bf5-4bea-81a4-071ee1bead29,resolver,BA0224-MS02,f408941,Completed,,102.733762
b034d4d6-395d-4fc6-9fde-12525ae3ffbc,resolver,BA0224-MS01,f408941,,,105.308006
11db6097-cc7b-4552-93f2-4bcfa9bb97b4,resolver,BA0212,f408941,,,104.747404
404d2f20-23ff-41e8-8b43-d42329402f17,resolver,BA0211,f408941,Completed,,104.154477
f4125ae0-bbbd-4781-8e38-c7469486bec3,resolver,MK7427,f408941,,,103.082552
2acbccfe-d4e8-4892-91c8-243fcdf75b0e,resolver,KZ5854,f408941,,,103.26586
cf253082-73ac-4a00-a9fe-a85c0c283f86,resolver,KW0890,f408941,Completed,,103.846859
18133a80-8fc9-4778-88b8-991c53c6cca7,resolver,DR6492,f408941,,,104.078568
79dcbfc8-b76a-452a-acc9-ef81fa1ff5c2,resolver,BR7764,f408941,,,109.56352
5ddf6e5e-c031-467e-a223-efd5f322d38c,resolver,DP0189,f408941,Completed,,105.253191
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
,,,,Completed,,
